-81521.906176, -81525.572617, -81525.572617, -81529.239130, -81525.572617, -81525.572617, -81525.572617, -81525.572617
-81525.572617, -81521.906176, -81525.572617, -81525.572617, -81525.572617, -81521.906176, -81525.572617, -81525.572617
-81525.572617, -81529.239130, -81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617
-81525.572617, -81525.572617, -81529.239130, -81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617
-81525.572617, -81525.572617, -81521.906176, -81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617
-81525.572617, -81529.239130, -81525.572617, -81529.239130, -81525.572617, -81521.906176, -81521.906176, -81525.572617
-81525.572617, -81529.239130, -81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617
-81525.572617, -81529.239130, -81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617
-81525.572617, -81525.572617, -81529.239130, -81525.572617, -81525.572617, -81525.572617, -81529.239130, -81529.239130
-81521.906176, -81529.239130, -81529.239130, -81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617
-81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617
-81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617
-81525.572617, -81525.572617, -81525.572617, -81525.572617, -81529.239130, -81525.572617, -81525.572617, -81525.572617
-81525.572617, -81525.572617, -81521.906176, -81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617
-81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617, -81525.572617
-81525.572617, -81525.572617, -81525.572617, -81525.572617, -81521.906176, -81521.906176, -81521.906176, -81521.906176
-80855.811006, -80855.811006, -80855.811006, -80892.347820, -79868.400409, -79853.865620, -79864.766604, -79879.302256
-78973.034468, -78969.418418, -78947.723630, -79009.198918, -78010.101911, -78020.892911, -78020.892911, -78053.269795
-77156.077417, -77145.338388, -77173.977235, -77206.201438, -76213.519442, -76213.519442, -76209.958671, -76227.763244
-75396.435212, -75399.979521, -75414.157478, -75438.971670, -74473.828186, -74477.353734, -74459.726712, -74516.139506
-73745.587231, -73724.524731, -73717.504472, -73770.163419, -72849.220779, -72838.744411, -72842.236462, -72866.682830
-72117.437367, -72141.779076, -72120.914539, -72155.690205, -71236.563758, -71271.156126, -71274.615758, -71329.979648
-70491.123094, -70515.228312, -70518.672203, -70563.449315, -69677.067649, -69690.773485, -69656.511051, -69731.897893
-69017.127556, -69017.127556, -68972.771881, -69044.429394, -68190.026328, -68213.792916, -68193.421339, -68223.979675
-67569.949446, -67556.422736, -67576.713233, -67603.771253, -66767.111775, -66736.832261, -66767.111775, -66800.762507
-66122.411603, -66139.167066, -66159.275994, -66192.796625, -65396.955853, -65373.610408, -65386.950231, -65436.984810
-64771.186849, -64774.508686, -64754.578738, -64804.408462, -64032.212252, -64048.742016, -64038.823942, -64048.742016
-63435.044753, -63438.337552, -63428.459371, -63448.216380, -62705.822601, -62689.439470, -62705.822601, -62754.982777
-62136.746447, -62153.068841, -62169.393033, -62188.984435, -61456.077752, -61449.579343, -61459.327065, -61514.576379
-60933.875756, -60937.113497, -60969.494855, -60969.494855, -60252.320124, -60245.875191, -60242.652833, -60290.995761
-59689.476515, -59699.106718, -59711.947996, -59737.634000, -59052.117677, -59045.726508, -59026.554725, -59096.863912
-58522.629014, -58535.364489, -58554.469858, -58583.132762, -57906.338933, -57903.169187, -57880.982985, -57938.040336
-57428.521425, -57425.362533, -57434.839424, -57475.913426, -56854.786989, -56851.641179, -56829.622518, -56854.786989
-56371.178959, -56377.448658, -56386.853745, -56421.344598, -55764.384684, -55751.901925, -55773.747508, -55801.839863
